Country Name,Year,Indicator,Value
Switzerland,2020,lowerwhisker,7.491271973
Iceland,2020,lowerwhisker,7.387652874
Norway,2020,lowerwhisker,7.419718742
Netherlands,2020,lowerwhisker,7.394428253
Sweden,2020,lowerwhisker,7.282480717
New Zealand,2020,lowerwhisker,7.222247601
Austria,2020,lowerwhisker,7.228804111
Canada,2020,lowerwhisker,7.152905464
Australia,2020,lowerwhisker,7.140791416
United Kingdom,2020,lowerwhisker,7.091662884
Israel,2020,lowerwhisker,7.045270443
Costa Rica,2020,lowerwhisker,7.033560276
Ireland,2020,lowerwhisker,7.01556778
Germany,2020,lowerwhisker,7.00600481
United States,2020,lowerwhisker,6.846860409
Belgium,2020,lowerwhisker,6.796133995
United Arab Emirates,2020,lowerwhisker,6.711031437
Malta,2020,lowerwhisker,6.688601971
France,2020,lowerwhisker,6.590149403
Mexico,2020,lowerwhisker,6.370680332
Uruguay,2020,lowerwhisker,6.351078987
Saudi Arabia,2020,lowerwhisker,6.295693874
Spain,2020,lowerwhisker,6.317991257
Italy,2020,lowerwhisker,6.302555561
Singapore,2020,lowerwhisker,6.311912537
Brazil,2020,lowerwhisker,6.295650005
Slovenia,2020,lowerwhisker,6.277471066
El Salvador,2020,lowerwhisker,6.234133244
Kosovo,2020,lowerwhisker,6.222856045
Panama,2020,lowerwhisker,6.187739372
Uzbekistan,2020,lowerwhisker,6.151313782
Chile,2020,lowerwhisker,6.138881207
Bahrain,2020,lowerwhisker,6.066811085
Lithuania,2020,lowerwhisker,6.128881454
Poland,2020,lowerwhisker,6.116719246
Colombia,2020,lowerwhisker,6.052697659
Cyprus,2020,lowerwhisker,6.059812069
Nicaragua,2020,lowerwhisker,6.011881828
Romania,2020,lowerwhisker,6.030732155
Mauritius,2020,lowerwhisker,5.989135742
Kazakhstan,2020,lowerwhisker,5.973169804
Estonia,2020,lowerwhisker,5.95126915
Philippines,2020,lowerwhisker,5.908277512
Hungary,2020,lowerwhisker,5.923032761
Thailand,2020,lowerwhisker,5.91531086
Argentina,2020,lowerwhisker,5.869954109
Honduras,2020,lowerwhisker,5.824366093
Latvia,2020,lowerwhisker,5.881717205
Ecuador,2020,lowerwhisker,5.821553707
Portugal,2020,lowerwhisker,5.806710243
Jamaica,2020,lowerwhisker,5.65344286
Japan,2020,lowerwhisker,5.789672375
Peru,2020,lowerwhisker,5.67663002
Serbia,2020,lowerwhisker,5.678803921
Bolivia,2020,lowerwhisker,5.648234844
Pakistan,2020,lowerwhisker,5.598795891
Paraguay,2020,lowerwhisker,5.590262413
Dominican Republic,2020,lowerwhisker,5.552330494
Bosnia and Herzegovina,2020,lowerwhisker,5.583183289
Moldova,2020,lowerwhisker,5.524640083
Tajikistan,2020,lowerwhisker,5.492349625
Montenegro,2020,lowerwhisker,5.450088024
Greece,2020,lowerwhisker,5.423013687
Croatia,2020,lowerwhisker,5.430644035
Mongolia,2020,lowerwhisker,5.377186298
Malaysia,2020,lowerwhisker,5.288647175
Indonesia,2020,lowerwhisker,5.192122936
Benin,2020,lowerwhisker,5.063591957
Ghana,2020,lowerwhisker,5.033075809
Nepal,2020,lowerwhisker,5.024123192
China,2020,lowerwhisker,5.073132515
Bulgaria,2020,lowerwhisker,5.014826775
Morocco,2020,lowerwhisker,4.985724926
Cameroon,2020,lowerwhisker,4.952999592
Algeria,2020,lowerwhisker,4.918397427
Senegal,2020,lowerwhisker,4.877372742
Guinea,2020,lowerwhisker,4.806137085
Albania,2020,lowerwhisker,4.772713184
Cambodia,2020,lowerwhisker,4.734706879
Bangladesh,2020,lowerwhisker,4.75415659
Gabon,2020,lowerwhisker,4.711174011
South Africa,2020,lowerwhisker,4.696453571
Iraq,2020,lowerwhisker,4.632328033
Lebanon,2020,lowerwhisker,4.685742378
Burkina Faso,2020,lowerwhisker,4.647048473
Mali,2020,lowerwhisker,4.603148937
Nigeria,2020,lowerwhisker,4.621952057
Armenia,2020,lowerwhisker,4.561953068
Georgia,2020,lowerwhisker,4.587501526
Jordan,2020,lowerwhisker,4.518247604
Mozambique,2020,lowerwhisker,4.468203068
Kenya,2020,lowerwhisker,4.450102329
Namibia,2020,lowerwhisker,4.451572418
Ukraine,2020,lowerwhisker,4.463319302
Uganda,2020,lowerwhisker,4.297749043
Tunisia,2020,lowerwhisker,4.294845581
Sri Lanka,2020,lowerwhisker,4.222952366
Myanmar,2020,lowerwhisker,4.223819733
Togo,2020,lowerwhisker,4.064686775
Ethiopia,2020,lowerwhisker,4.109926701
Sierra Leone,2020,lowerwhisker,3.806544304
Zambia,2020,lowerwhisker,3.640473604
India,2020,lowerwhisker,3.519003391
Malawi,2020,lowerwhisker,3.400289536
Tanzania,2020,lowerwhisker,3.352308989
Zimbabwe,2020,lowerwhisker,3.184198141
Afghanistan,2020,lowerwhisker,2.505529642
Finland,2020,Logged GDP per capita,10.63926697
Denmark,2020,Logged GDP per capita,10.77400112
Switzerland,2020,Logged GDP per capita,10.97993279
Iceland,2020,Logged GDP per capita,10.77255917
Norway,2020,Logged GDP per capita,11.08780384
Netherlands,2020,Logged GDP per capita,10.81271172
Sweden,2020,Logged GDP per capita,10.75879383
New Zealand,2020,Logged GDP per capita,10.50094318
Austria,2020,Logged GDP per capita,10.7428236
Canada,2020,Logged GDP per capita,10.69236851
Australia,2020,Logged GDP per capita,10.72059631
United Kingdom,2020,Logged GDP per capita,10.60013485
Israel,2020,Logged GDP per capita,10.41752529
Costa Rica,2020,Logged GDP per capita,9.658156395
Ireland,2020,Logged GDP per capita,11.16097832
Germany,2020,Logged GDP per capita,10.7328186
United States,2020,Logged GDP per capita,10.92576885
Belgium,2020,Logged GDP per capita,10.6736393
United Arab Emirates,2020,Logged GDP per capita,11.1099987
Malta,2020,Logged GDP per capita,10.53383827
France,2020,Logged GDP per capita,10.58422279
Mexico,2020,Logged GDP per capita,9.797797203
Uruguay,2020,Logged GDP per capita,9.948192596
Saudi Arabia,2020,Logged GDP per capita,10.79781246
Spain,2020,Logged GDP per capita,10.46292686
Italy,2020,Logged GDP per capita,10.48183632
Singapore,2020,Logged GDP per capita,11.39552116
Brazil,2020,Logged GDP per capita,9.56643486
Slovenia,2020,Logged GDP per capita,10.39232254
El Salvador,2020,Logged GDP per capita,8.909075737
Kosovo,2020,Logged GDP per capita,9.204429626
Panama,2020,Logged GDP per capita,10.03423405
Uzbekistan,2020,Logged GDP per capita,8.740371704
Chile,2020,Logged GDP per capita,10.0320549
Bahrain,2020,Logged GDP per capita,10.67638016
Lithuania,2020,Logged GDP per capita,10.34362602
Poland,2020,Logged GDP per capita,10.26512432
Colombia,2020,Logged GDP per capita,9.500369072
Cyprus,2020,Logged GDP per capita,10.40570259
Nicaragua,2020,Logged GDP per capita,8.493160248
Romania,2020,Logged GDP per capita,10.107584
Mauritius,2020,Logged GDP per capita,9.956786156
Kazakhstan,2020,Logged GDP per capita,10.11465836
Estonia,2020,Logged GDP per capita,10.34001732
Philippines,2020,Logged GDP per capita,8.993545532
Hungary,2020,Logged GDP per capita,10.24924374
Thailand,2020,Logged GDP per capita,9.741791725
Argentina,2020,Logged GDP per capita,9.810955048
Honduras,2020,Logged GDP per capita,8.424534798
Latvia,2020,Logged GDP per capita,10.17531967
Ecuador,2020,Logged GDP per capita,9.246058464
Portugal,2020,Logged GDP per capita,10.26374245
Jamaica,2020,Logged GDP per capita,9.006250381
Japan,2020,Logged GDP per capita,10.57968903
Peru,2020,Logged GDP per capita,9.456313133
Serbia,2020,Logged GDP per capita,9.680980682
Bolivia,2020,Logged GDP per capita,8.851115227
Pakistan,2020,Logged GDP per capita,8.482727051
Paraguay,2020,Logged GDP per capita,9.389982224
Dominican Republic,2020,Logged GDP per capita,9.664880753
Bosnia and Herzegovina,2020,Logged GDP per capita,9.455817223
Moldova,2020,Logged GDP per capita,8.776714325
Tajikistan,2020,Logged GDP per capita,8.024810791
Montenegro,2020,Logged GDP per capita,9.751860619
Greece,2020,Logged GDP per capita,10.13232613
Croatia,2020,Logged GDP per capita,10.07087517
Mongolia,2020,Logged GDP per capita,9.412186623
Malaysia,2020,Logged GDP per capita,10.26251888
Indonesia,2020,Logged GDP per capita,9.36975193
Benin,2020,Logged GDP per capita,7.674319744
Ghana,2020,Logged GDP per capita,8.350645065
Nepal,2020,Logged GDP per capita,7.925357342
China,2020,Logged GDP per capita,9.688568115
Bulgaria,2020,Logged GDP per capita,9.869318962
Morocco,2020,Logged GDP per capita,8.940313339
Cameroon,2020,Logged GDP per capita,8.118647575
Algeria,2020,Logged GDP per capita,9.537964821
Senegal,2020,Logged GDP per capita,8.118982315
Guinea,2020,Logged GDP per capita,7.750990391
Albania,2020,Logged GDP per capita,9.417930603
Cambodia,2020,Logged GDP per capita,8.249890327
Bangladesh,2020,Logged GDP per capita,8.287063599
Gabon,2020,Logged GDP per capita,9.680537224
South Africa,2020,Logged GDP per capita,9.403370857
Iraq,2020,Logged GDP per capita,9.661095619
Lebanon,2020,Logged GDP per capita,9.3617239
Burkina Faso,2020,Logged GDP per capita,7.46854496
Mali,2020,Logged GDP per capita,7.629852295
Nigeria,2020,Logged GDP per capita,8.57662487
Armenia,2020,Logged GDP per capita,9.100476265
Georgia,2020,Logged GDP per capita,9.226100922
Jordan,2020,Logged GDP per capita,9.025999069
Mozambique,2020,Logged GDP per capita,7.069345951
Kenya,2020,Logged GDP per capita,8.02977562
Namibia,2020,Logged GDP per capita,9.203141212
Ukraine,2020,Logged GDP per capita,9.010690689
Uganda,2020,Logged GDP per capita,7.500389576
Tunisia,2020,Logged GDP per capita,9.314972878
Sri Lanka,2020,Logged GDP per capita,9.389969826
Myanmar,2020,Logged GDP per capita,8.680481911
Togo,2020,Logged GDP per capita,7.357711315
Ethiopia,2020,Logged GDP per capita,7.509385586
Sierra Leone,2020,Logged GDP per capita,7.26880312
Zambia,2020,Logged GDP per capita,8.224720001
India,2020,Logged GDP per capita,8.849823952
Malawi,2020,Logged GDP per capita,7.062226295
Tanzania,2020,Logged GDP per capita,7.967665195
Zimbabwe,2020,Logged GDP per capita,7.865711689
Afghanistan,2020,Logged GDP per capita,7.462860584
Finland,2020,Social support,0.954329729
Denmark,2020,Social support,0.955990791
Switzerland,2020,Social support,0.942846596
Iceland,2020,Social support,0.974669576
Norway,2020,Social support,0.952486575
Netherlands,2020,Social support,0.93913883
Sweden,2020,Social support,0.926311195
New Zealand,2020,Social support,0.949118972
Austria,2020,Social support,0.928045869
Canada,2020,Social support,0.927176654
Australia,2020,Social support,0.944854617
United Kingdom,2020,Social support,0.93668282
Israel,2020,Social support,0.913571239
Costa Rica,2020,Social support,0.901545942
Ireland,2020,Social support,0.942081571
Germany,2020,Social support,0.898874462
United States,2020,Social support,0.914219022
Belgium,2020,Social support,0.911632538
United Arab Emirates,2020,Social support,0.849181116
Malta,2020,Social support,0.93037951
France,2020,Social support,0.937103748
Mexico,2020,Social support,0.838665426
Uruguay,2020,Social support,0.92281127
Saudi Arabia,2020,Social support,0.874067068
Spain,2020,Social support,0.921125412
Italy,2020,Social support,0.889878571
Singapore,2020,Social support,0.910268962
Brazil,2020,Social support,0.896723807
Slovenia,2020,Social support,0.939575672
El Salvador,2020,Social support,0.806092262
Kosovo,2020,Social support,0.820726514
Panama,2020,Social support,0.902094483
Uzbekistan,2020,Social support,0.926595807
Chile,2020,Social support,0.879713595
Bahrain,2020,Social support,0.876342118
Lithuania,2020,Social support,0.926107109
Poland,2020,Social support,0.874257445
Colombia,2020,Social support,0.884440243
Cyprus,2020,Social support,0.805996239
Nicaragua,2020,Social support,0.857497036
Romania,2020,Social support,0.825161517
Mauritius,2020,Social support,0.910357833
Kazakhstan,2020,Social support,0.934744895
Estonia,2020,Social support,0.934729993
Philippines,2020,Social support,0.846730053
Hungary,2020,Social support,0.921934128
Thailand,2020,Social support,0.889973223
Argentina,2020,Social support,0.900567949
Honduras,2020,Social support,0.821870148
Latvia,2020,Social support,0.918288589
Ecuador,2020,Social support,0.836418986
Portugal,2020,Social support,0.886590719
Jamaica,2020,Social support,0.915701866
Japan,2020,Social support,0.883545935
Peru,2020,Social support,0.831075251
Serbia,2020,Social support,0.881475747
Bolivia,2020,Social support,0.803108692
Pakistan,2020,Social support,0.689062297
Paraguay,2020,Social support,0.898727894
Dominican Republic,2020,Social support,0.882085383
Bosnia and Herzegovina,2020,Social support,0.829204142
Moldova,2020,Social support,0.843313575
Tajikistan,2020,Social support,0.835297108
Montenegro,2020,Social support,0.855314612
Greece,2020,Social support,0.814380348
Croatia,2020,Social support,0.874623716
Mongolia,2020,Social support,0.937142491
Malaysia,2020,Social support,0.816509426
Indonesia,2020,Social support,0.808379889
Benin,2020,Social support,0.468671143
Ghana,2020,Social support,0.728601098
Nepal,2020,Social support,0.785512447
China,2020,Social support,0.798760593
Bulgaria,2020,Social support,0.937840343
Morocco,2020,Social support,0.592628479
Cameroon,2020,Social support,0.700386405
Algeria,2020,Social support,0.803385139
Senegal,2020,Social support,0.723616004
Guinea,2020,Social support,0.637573481
Albania,2020,Social support,0.671070457
Cambodia,2020,Social support,0.773080647
Bangladesh,2020,Social support,0.687292993
Gabon,2020,Social support,0.787886858
South Africa,2020,Social support,0.852532268
Iraq,2020,Social support,0.747694969
Lebanon,2020,Social support,0.824338138
Burkina Faso,2020,Social support,0.712943614
Mali,2020,Social support,0.731468976
Nigeria,2020,Social support,0.73721689
Armenia,2020,Social support,0.757479429
Georgia,2020,Social support,0.629033029
Jordan,2020,Social support,0.80216372
Mozambique,2020,Social support,0.723874032
Kenya,2020,Social support,0.702652037
Namibia,2020,Social support,0.846880972
Ukraine,2020,Social support,0.878879368
Uganda,2020,Social support,0.764994621
Tunisia,2020,Social support,0.688718557
Sri Lanka,2020,Social support,0.825374067
Myanmar,2020,Social support,0.78440702
Togo,2020,Social support,0.551312625
Ethiopia,2020,Social support,0.743307352
Sierra Leone,2020,Social support,0.636142015
Zambia,2020,Social support,0.698824465
India,2020,Social support,0.592200935
Malawi,2020,Social support,0.544007301
Tanzania,2020,Social support,0.688933194
Zimbabwe,2020,Social support,0.763092756
Afghanistan,2020,Social support,0.470366955
Finland,2020,Healthy life expectancy,71.9008255
Denmark,2020,Healthy life expectancy,72.40250397
Switzerland,2020,Healthy life expectancy,74.10244751
Iceland,2020,Healthy life expectancy,73.0
Norway,2020,Healthy life expectancy,73.20078278
Netherlands,2020,Healthy life expectancy,72.30091858
Sweden,2020,Healthy life expectancy,72.60076904
New Zealand,2020,Healthy life expectancy,73.20262909
Austria,2020,Healthy life expectancy,73.00250244
Canada,2020,Healthy life expectancy,73.60160065
Australia,2020,Healthy life expectancy,73.60453796
United Kingdom,2020,Healthy life expectancy,72.30160522
Israel,2020,Healthy life expectancy,73.20025635
Costa Rica,2020,Healthy life expectancy,71.29985046
Ireland,2020,Healthy life expectancy,72.30078888
Germany,2020,Healthy life expectancy,72.20201874
United States,2020,Healthy life expectancy,68.29949951
Belgium,2020,Healthy life expectancy,72.00164795
United Arab Emirates,2020,Healthy life expectancy,67.08278656
Malta,2020,Healthy life expectancy,72.19999695
France,2020,Healthy life expectancy,73.80193329
Mexico,2020,Healthy life expectancy,68.29902649
Uruguay,2020,Healthy life expectancy,69.00254822
Saudi Arabia,2020,Healthy life expectancy,66.30514526
Spain,2020,Healthy life expectancy,74.40270996
Italy,2020,Healthy life expectancy,73.60168457
Singapore,2020,Healthy life expectancy,76.80458069
Brazil,2020,Healthy life expectancy,66.48016357
Slovenia,2020,Healthy life expectancy,71.1029892
El Salvador,2020,Healthy life expectancy,66.10826111
Kosovo,2020,Healthy life expectancy,63.88555527
Panama,2020,Healthy life expectancy,69.60301208
Uzbekistan,2020,Healthy life expectancy,65.10757446
Chile,2020,Healthy life expectancy,69.90061951
Bahrain,2020,Healthy life expectancy,68.5
Lithuania,2020,Healthy life expectancy,67.29407501
Poland,2020,Healthy life expectancy,69.31113434
Colombia,2020,Healthy life expectancy,67.69958496
Cyprus,2020,Healthy life expectancy,73.70222473
Nicaragua,2020,Healthy life expectancy,67.50717926
Romania,2020,Healthy life expectancy,67.20723724
Mauritius,2020,Healthy life expectancy,66.40434265
Kazakhstan,2020,Healthy life expectancy,64.60996246
Estonia,2020,Healthy life expectancy,68.60495758
Philippines,2020,Healthy life expectancy,61.92676163
Hungary,2020,Healthy life expectancy,67.60997009
Thailand,2020,Healthy life expectancy,67.25059509
Argentina,2020,Healthy life expectancy,68.80380249
Honduras,2020,Healthy life expectancy,67.19876862
Latvia,2020,Healthy life expectancy,66.8074646
Ecuador,2020,Healthy life expectancy,68.50003815
Portugal,2020,Healthy life expectancy,72.40202332
Jamaica,2020,Healthy life expectancy,67.09999847
Japan,2020,Healthy life expectancy,75.00096893
Peru,2020,Healthy life expectancy,68.10023499
Serbia,2020,Healthy life expectancy,68.21020508
Bolivia,2020,Healthy life expectancy,63.6004715
Pakistan,2020,Healthy life expectancy,58.25313568
Paraguay,2020,Healthy life expectancy,65.63993835
Dominican Republic,2020,Healthy life expectancy,65.80748749
Bosnia and Herzegovina,2020,Healthy life expectancy,67.80813599
Moldova,2020,Healthy life expectancy,65.01301575
Tajikistan,2020,Healthy life expectancy,64.10459137
Montenegro,2020,Healthy life expectancy,68.50534821
Greece,2020,Healthy life expectancy,72.40525818
Croatia,2020,Healthy life expectancy,70.21490479
Mongolia,2020,Healthy life expectancy,62.30448532
Malaysia,2020,Healthy life expectancy,67.10215759
Indonesia,2020,Healthy life expectancy,62.15584946
Benin,2020,Healthy life expectancy,54.31246567
Ghana,2020,Healthy life expectancy,57.20398712
Nepal,2020,Healthy life expectancy,63.77917862
China,2020,Healthy life expectancy,69.2891922
Bulgaria,2020,Healthy life expectancy,66.80397797
Morocco,2020,Healthy life expectancy,65.89624023
Cameroon,2020,Healthy life expectancy,52.7049408
Algeria,2020,Healthy life expectancy,65.90517426
Senegal,2020,Healthy life expectancy,59.59915161
Guinea,2020,Healthy life expectancy,54.46780014
Albania,2020,Healthy life expectancy,68.70813751
Cambodia,2020,Healthy life expectancy,61.52996826
Bangladesh,2020,Healthy life expectancy,64.50306702
Gabon,2020,Healthy life expectancy,59.71533966
South Africa,2020,Healthy life expectancy,56.50601196
Iraq,2020,Healthy life expectancy,59.90354919
Lebanon,2020,Healthy life expectancy,67.10658264
Burkina Faso,2020,Healthy life expectancy,53.88945389
Mali,2020,Healthy life expectancy,51.72698212
Nigeria,2020,Healthy life expectancy,49.86190796
Armenia,2020,Healthy life expectancy,66.75065613
Georgia,2020,Healthy life expectancy,64.49520874
Jordan,2020,Healthy life expectancy,66.79975128
Mozambique,2020,Healthy life expectancy,54.20582199
